number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
465	100.0	2.5	10.0	460.0	3.0	0.088
466	100.0	2.5	10.0	480.0	3.0	0.081
467	100.0	2.5	10.0	500.0	3.0	0.074
468	100.0	2.5	10.0	520.0	3.0	0.068
469	100.0	2.5	10.0	540.0	3.0	0.064
470	100.0	2.5	10.0	560.0	3.0	0.061
471	100.0	2.5	10.0	580.0	3.0	0.058
472	100.0	2.5	10.0	600.0	3.0	0.057
473	100.0	2.5	10.0	620.0	3.0	0.054
474	100.0	2.5	10.0	640.0	3.0	0.054
475	100.0	2.5	10.0	660.0	3.0	0.048
476	100.0	2.5	10.0	680.0	3.0	0.047
477	100.0	2.5	10.0	700.0	3.0	0.046
478	100.0	2.5	10.0	720.0	3.0	0.045
479	100.0	2.5	10.0	740.0	3.0	0.044
480	100.0	2.5	10.0	760.0	3.0	0.044
481	100.0	2.5	10.0	780.0	3.0	0.045
482	100.0	2.5	10.0	800.0	3.0	0.045
483	100.0	3.0	10.0	400.0	3.0	0.112
484	100.0	3.0	10.0	420.0	3.0	0.104
485	100.0	3.0	10.0	440.0	3.0	0.098
486	100.0	3.0	10.0	460.0	3.0	0.092
487	100.0	3.0	10.0	480.0	3.0	0.088
488	100.0	3.0	10.0	500.0	3.0	0.084
489	100.0	3.0	10.0	520.0	3.0	0.088
490	100.0	3.0	10.0	540.0	3.0	0.083
491	100.0	3.0	10.0	560.0	3.0	0.068
492	100.0	3.0	10.0	580.0	3.0	0.065
493	100.0	3.0	10.0	600.0	3.0	0.063
494	100.0	3.0	10.0	620.0	3.0	0.061
495	100.0	3.0	10.0	640.0	3.0	0.059
496	100.0	3.0	10.0	660.0	3.0	0.058
497	100.0	3.0	10.0	680.0	3.0	0.056
498	100.0	3.0	10.0	700.0	3.0	0.054
499	100.0	3.0	10.0	720.0	3.0	0.053
500	100.0	3.0	10.0	740.0	3.0	0.047
501	100.0	3.0	10.0	760.0	3.0	0.046
502	100.0	3.0	10.0	780.0	3.0	0.047
503	100.0	3.0	10.0	800.0	3.0	0.046
504	100.0	3.5	10.0	400.0	3.0	0.12
505	100.0	3.5	10.0	420.0	3.0	0.108
506	100.0	3.5	10.0	440.0	3.0	0.101
507	100.0	3.5	10.0	460.0	3.0	0.097
508	100.0	3.5	10.0	480.0	3.0	0.092
509	100.0	3.5	10.0	500.0	3.0	0.088
510	100.0	3.5	10.0	520.0	3.0	0.096
511	100.0	3.5	10.0	540.0	3.0	0.093
